well_id,fold,rows,prediction_sse,prediction_rmse,baseline_sse,baseline_rmse,prediction_wins
000d7d20,3,3836,510342.9883642086,11.534314181619324,213161.56030002818,7.454442102844319,False
00bbac68,1,6014,1306962.851530636,14.741779464421006,1401026.041700022,15.263052288602681,True
00e12e8b,3,4301,182928.8261475694,6.521632953792831,270098.9717000084,7.92458894231589,True
015fe0d2,4,4296,1603676.0850468155,19.32084827546459,2303295.742199914,23.154889673287215,True
01869cd4,3,5557,420929.94041984197,8.703315165780456,626576.8553999825,10.618593023436276,True
01982c1d,3,3941,154814.72304528666,6.267623679148838,158137.36869999464,6.33452473981023,True
028d7b28,0,6234,2276248.516788917,19.108493060003678,340784.081499998,7.393605105422137,False
02e7fe5a,2,5108,667617.2445952925,11.432424150836193,361659.8211000381,8.414429717261077,False
0390d174,3,4411,400371.4266862158,9.527150129554554,320002.1529999825,8.517417217402954,False
03a935ae,4,2786,4022151.8378634993,37.996069609445044,3423484.1721999906,35.05448621305352,False
044af7d1,3,4519,253327.4477743869,7.487208946168256,440060.75439996406,9.868136513863366,True
0498acab,0,4798,182503.2257552637,6.1674430895866115,172505.77320002805,5.996139045372776,False
052d64df,1,2445,149883.41494080675,7.8295600260001175,133753.32189999666,7.3962717049147795,False
05948241,0,3879,70789.39074940523,4.271930686348688,96810.98729998426,4.995769989509691,True
059c8f24,3,6258,563568.5086207663,9.489767652371672,745174.8376998632,10.912174729109239,True
05a0ee4d,1,4348,1176290.519535005,16.447978540025186,1463224.9323999838,18.344706956532814,True
060ab2b8,2,6258,292032.9577353423,6.831218145011438,512354.6856999987,9.048312196834127,True
06df5958,1,3509,61178.970191406515,4.175508739996888,33471.45909999424,3.0884860085517194,False
071d7b45,3,3211,707969.0632032643,14.848650575685294,940663.580699953,17.11579247751261,True
0849b4e2,1,5537,2167936.184141353,19.787274804810163,1175021.7229999802,14.567522114617379,False
084d66f9,2,3885,1256234.3007162544,17.982075307355274,444215.20669994364,10.693040191903986,False
08fecf00,1,5574,802360.9944732003,11.997794577217734,126283.21250000439,4.759806836739511,False
09053135,0,5907,758583.5205015745,11.33230400304961,1038857.0287001376,13.261553626472297,True
09441b8d,2,5488,1177829.3028367334,14.649881981165821,1394247.13380008,15.9390645279074,True
0955cd6c,2,5195,1346336.1052874343,16.098446563830773,334401.85399994365,8.023088122545198,False
09ec2ca9,2,5885,260396.1156461223,6.651874045492601,221343.34890001288,6.13281698431714,False
0a57a29c,2,5821,93016.88574594937,3.9974413253077734,281389.298500032,6.952723985070934,True
0bbf5e67,2,4298,1394207.3512065676,18.01069528180044,1451514.2024998572,18.377119492009776,True
0be01c24,4,4738,161633.70495939552,5.8407475538712585,324309.65619996784,8.273369324203173,True
0c1b160c,0,5054,256040.17978289322,7.117646960577639,359356.04299995047,8.432276859497074,True
0d99f8e4,4,5823,304851.35390408,7.235535339393905,508334.09279999917,9.343320012239094,True
0dc5e64d,0,4879,1015366.4073103444,14.426001945787105,1582345.974200055,18.008822359134772,True
0dc835f3,3,4428,374127.2019756166,9.191911554470432,231450.24929999467,7.2297789729208715,False
0dd99dc5,0,7342,752785.2737962558,10.125777200086056,497854.90640003316,8.234632190411654,False
0e5e560d,4,3253,143085.66286186548,6.632175779315731,344702.18510000076,10.293900986020363,True
109d9d70,4,4215,1149403.7829270924,16.513438812976393,370153.7543999929,9.371137061320914,False
10a1281a,1,5609,120747.34885163567,4.639766042271584,72337.09419999164,3.5911852573850855,False
10b89021,4,5414,797861.1876345344,12.139604664491621,1173309.6033999855,14.721334704881999,True
10be2420,0,3271,40624.234778193764,3.5241332793885425,575084.5323999214,13.259451874685324,True
113011eb,0,3272,138373.68754672603,6.503095171165351,87724.80140000148,5.177910618587731,False
1131525f,1,4159,751832.104486539,13.445159952819381,895074.0194999771,14.670165574890584,True
11d0f5ac,0,4883,1320129.2493880342,16.4423869542856,2399865.8765999833,22.169205194123972,True
12203f2a,1,3261,102417.17556767643,5.604166090833779,617638.1921999756,13.762320645487467,True
122bd617,0,4570,325316.8796171171,8.437138900510211,622400.369699997,11.670160284769418,True
125be846,4,6510,843631.8978651038,11.383767095381476,2213950.0590000013,18.441379950265283,True
1285a37b,1,5597,684867.6128453317,11.061796409140427,172346.77079995122,5.549117512133954,False
1295a25b,1,5551,500711.6817167579,9.49747694943813,524104.4360999823,9.716800903498608,True
12f0cd90,1,5947,1478116.7355132103,15.765414654512647,370685.8453000008,7.895034499573364,False
137d1e44,4,4554,5723584.089137798,35.45173715568374,2848566.7522000317,25.010172511867026,False
13ce113d,3,2966,40556.128280329234,3.6977936360608132,33905.114600001674,3.381014512965784,False
13f598d9,0,7306,861772.0685684546,10.860663874166905,1681009.1951999064,15.16858992587756,True
14a53cb3,0,6919,405463.09062893444,7.655155163829151,553934.193499999,8.94761773897247,True
14ab73fb,2,3649,1627625.6731397072,21.119825913733113,801347.007500068,14.81915286795364,False
14ad5efb,1,5842,526480.1868846676,9.493147737637829,231758.8987999945,6.298504340917485,False
14fee784,0,4910,2190445.9116854332,21.121537119304683,2252749.795300072,21.419815878785553,True
153552f5,0,4695,186818.3405557428,6.308003951836765,125077.06239997773,5.161441840641978,False
1550491d,4,4563,888316.2874356166,13.952710334223475,2044445.320900104,21.167156242041475,True
155887bb,3,5585,358320.52627928637,8.009847635058126,776774.3675998595,11.793313793912793,True
1590af81,0,3799,213376.9772206686,7.4944390583507765,117478.25199999259,5.560887269871239,False
15e154a1,3,6068,608687.6293190124,10.015541888528327,3273501.5383999017,23.22648490243106,True
1619e2ca,3,4443,125910.72039880962,5.323450225603797,271166.40310002316,7.812315673810556,True
16e4a047,2,4131,1262919.1856309983,17.48478043189658,474321.2035999984,10.715407020528387,False
